2024 U.S. Masters Swimming 6000 Virtual Championship Final Results Men,,,,,,,,,,
,,,,,,,,,,
Age Group,Place,Last Name,First Name,MI,Club Abbr,Age,USMS Number,DOB,Time,New Record
M1824,1,Xu,D Michael,,MEMO,23,384K-4AS5E,,1:24:39.99,
M1824,2,Freeman,Brigham,,WISC,22,204Y-APCPD,,1:28:06.03,
M2529,1,Dickson,Keith,,GRA,27,334G-WGA71,,1:12:54.37,
M3034,1,Stickle,Christopher,,SPM,34,144M-06HTS,,1:14:32.83,
M3034,2,Gamble,Grant,,CCAM,33,3349-0B47E,,1:15:14.19,
M3034,3,Pidgeon,Jack,,AAMAH,32,434Z-7P00H,,1:24:18.16,
M3034,4,Thomas,Michael,,MVM,32,384P-07X03,,1:24:59.86,
M3034,5,Zhuang,Yuchuan,,IM,34,214V-NC6U3,,1:33:20.06,
M3539,1,Modrov,Drew,,PINE,35,064Z-DREWM,,1:01:54.59,Y
M3539,2,Wallace,Anthony,,SAVMS,37,454G-0AUSE,,1:13:19.00,
M3539,3,Hawkins,Russell,,SPM,38,144R-N55AX,,1:47:28.00,
M4044,1,Foerster,Henry,,AAMAH,41,434R-09G8Y,,1:33:00.41,
M4549,1,Gardner,Joseph,,TXLA,49,434X-AHPA1,,1:13:28.88,
M4549,2,Gold,Steven,,BSS,47,144T-042RD,,1:14:06.35,
M5054,1,Dissinger,John,,BTA,51,254M-GPZXS,,1:12:35.99,
M5054,2,Walberer,Andrew,,IM,52,2141-005XM,,1:18:00.56,
M5054,3,Guirl,Michael,,MOST,53,434A-02PWZ,,1:19:47.81,
M5054,4,Richardson,Ty,,AAMAH,51,435F-02PPW,,1:23:48.21,
M5054,5,Bell,Erik,,WSC,50,504N-03641,,1:24:14.00,
M5054,6,Lehnert,Ahren,,MEMO,51,384K-07TZ7,,1:33:15.89,
M5054,7,James,Jason,,AWYY,51,4547-0A35F,,2:02:10.81,
M5559,1,Dickson,Kurt,,GRA,57,3349-02EM5,,1:12:26.55,
M5559,2,Rubacky,Mark,,NCMS,55,1343-070MN,,1:13:41.28,
M5559,3,Wursta,Steve,,OREG,59,374P-026PM,,1:27:37.86,
M5559,4,Meishar,Nim,,MOST,58,434Z-CNF0E,,1:29:46.70,
M5559,5,Baumgartner,Edmund,,IM,58,214J-092VJ,,1:37:11.95,
M5559,6,Bronson,Matthew,,KM,59,3540-01ZZG,,1:44:47.99,
M6064,1,Erwin,Jeff,,SAWS,60,5957-01J0A,,1:10:17.07,
M6064,2,Kough,David,,MOVY,61,284W-08229,,1:24:56.60,
M6064,3,Baron,Kurt,,SAWS,60,594P-03BBC,,1:25:08.88,
M6064,4,Gould,Jeffrey,,SPM,61,144W-01YC1,,1:28:06.00,
M6064,5,Oliveira,Braulio,,ALEX,63,1048-HXVM8,,1:40:45.09,
M6064,6,Quiroga,Amadeo,,SFTL,62,504T-04PFA,,1:51:24.39,
M6569,1,Archer,Branch,,TXLA,65,4343-08689,,1:12:34.50,Y
M6569,2,Kajiwara,Doug,,CCAM,67,334A-03BT0,,1:12:55.35,Y
M6569,3,MacDonald,Sandy,,SMAC,69,3840-03H4C,,1:15:36.28,
M6569,4,Chambers,John,,AGUA,69,064P-02YB5,,1:19:06.27,
M6569,5,Layton,Chris,,IM,65,2143-02VAE,,1:28:12.24,
M6569,6,Thibodeau,Jeff,,NEM,68,024B-6C32H,,1:35:57.00,
M6569,7,Nishimura,Koji,,AAMAH,66,434Z-0B7YR,,1:45.11.51,
M6569,8,Grassell,Duane,,O*H*,67,184B-01PH5,,2:02:58.42,
M6569,9,Thandiwe,Iilonga,,AWYY,69,4540-07ZC0,,3:41:37.00,
M7074,1,Wood,Larry,,TXLA,70,434K-02NJF,,1:23:26.62,
M7074,2,Clemmons,Jim,,SAWS,74,594S-03F93,,1:23:57.28,
M7074,3,Dobra,Jeffrey,,LBG,70,334G-40KUG,,1:27:34.08,
M7074,4,Dodson,Phil,,IM,71,214N-02UY2,,1:27:58.56,
M7074,5,Small,Stephen,,MEMO,72,384F-03GV2,,1:36:21.54,
M7074,6,Yensen,Kermit,,OREG,71,374H-025Y1,,1:46:13.00,
M7074,7,Littman,Daniel,,O*H*,71,1842-GJAFT,,1:54:08.00,
M7579,1,Kirkland,Dan,,OREG,76,3748-069B3,,1:19:19.68,
M7579,2,Bruce,Bob,,OREG,76,3741-025YX,,1:28:06.99,
M8084,1,Raffaelli,Larry,,VCM,81,334N-03B35,,2:06:41.04,
M8589,1,Holmes,Douglas,,SMS,88,244K-01T5M,,2:11:56.17,
