USMS Men's Long Course Meters Records 01/11/2018
Age Group,Event,Name,Date,Time
M18-24,50 M Free,Josh Schneider,07-01-12,21.78L
M18-24,100 M Free,Josh Schneider,06-28-12,49.37L
M18-24,200 M Free,Joe P Tristan,08-16-98,1:52.74L
M18-24,400 M Free,Hyun Seung Lee,08-13-07,4:04.68L
M18-24,800 M Free,Ryan Rosenbaum,08-06-15,8:44.80L
M18-24,1500 M Free,Jacob J Jezek,08-07-13,16:58.37L
M18-24,50 M Back,Dave Rollins,08-15-05,26.91L
M18-24,100 M Back,Eugene Godsoe,06-27-12,53.61L
M18-24,200 M Back,Vicente E Andrade,08-11-10,2:08.63L
M18-24,50 M Breast,Dave Rollins,08-15-05,28.87L
M18-24,100 M Breast,Jacob R Montague,08-25-16,1:00.68L
M18-24,200 M Breast,Elliot Keefer,06-29-12,2:11.10L
M18-24,50 M Fly,Thomas A Shields,08-08-14,24.20L
M18-24,100 M Fly,Thomas A Shields,08-08-14,51.29L
M18-24,200 M Fly,Thomas A Shields,08-06-14,1:55.09L
M18-24,200 M IM,Jacob R Montague,06-30-16,2:05.80L
M18-24,400 M IM,Peter A Galan,08-21-10,4:44.53L
M25-29,50 M Free,Nathan Adrian,08-10-14,21.69L
M25-29,100 M Free,Nathan Adrian,06-27-17,47.96L
M25-29,200 M Free,Alex Wold,06-26-13,1:50.69L
M25-29,400 M Free,Alex Wold,06-28-13,3:55.01L
M25-29,800 M Free,Alex Kostich,06-29-97,8:24.67L
M25-29,1500 M Free,Alex Kostich,08-10-97,16:13.89L
M25-29,50 M Back,Adam M Mania,05-22-11,26.05L
M25-29,100 M Back,Adam M Mania,08-03-11,55.15L
M25-29,200 M Back,Hayes Johnson,06-24-17,2:03.61L
M25-29,50 M Breast,Mark Gangloff,08-04-11,27.96L
M25-29,100 M Breast,BJ Johnson,06-28-13,1:00.68L
M25-29,200 M Breast,BJ Johnson,06-26-13,2:10.09L
M25-29,50 M Fly,Kohei Kawamoto,08-16-08,23.71L
M25-29,100 M Fly,Thomas A Shields,07-02-16,51.20L
M25-29,200 M Fly,Thomas A Shields,06-29-16,1:55.81L
M25-29,200 M IM,Adam J Ritter,07-14-13,2:04.40L
M25-29,400 M IM,Alex Wold,06-27-13,4:20.83L
M30-34,50 M Free,Anthony L Ervin,08-10-14,21.55L
M30-34,100 M Free,Anthony L Ervin,08-06-14,48.71L
M30-34,200 M Free,Darian R Townsend,08-07-14,1:49.34L
M30-34,400 M Free,Darian R Townsend,07-23-16,3:58.12L
M30-34,800 M Free,Rowdy Gaines,11-14-93,8:40.19L
M30-34,1500 M Free,Bobby Patten,08-22-93,16:36.06L
M30-34,50 M Back,Matt Grevers,06-29-17,24.67L
M30-34,100 M Back,Matt Grevers,06-30-17,52.71L
M30-34,200 M Back,Sean Murphy,07-09-94,2:05.62L
M30-34,50 M Breast,Marcus Titus,06-27-16,27.73L
M30-34,100 M Breast,Marcus Titus,06-26-16,1:00.19L
M30-34,200 M Breast,Gary N Marshall,07-07-12,2:18.04L
M30-34,50 M Fly,Roland M Schoeman,07-13-13,23.26L
M30-34,100 M Fly,Darian R Townsend,08-08-14,53.36L
M30-34,200 M Fly,Matt R Haupt,08-12-10,2:03.76L
M30-34,200 M IM,Ryan Lochte,08-06-17,1:59.24L
M30-34,400 M IM,Darian R Townsend,07-23-16,4:20.81L
M35-39,50 M Free,Brian L Jacobson,06-30-12,23.35L
M35-39,100 M Free,Rowdy Gaines,07-16-95,51.49L
M35-39,200 M Free,Vlad Pyshnenko,08-06-06,1:52.84L
M35-39,400 M Free,Rowdy Gaines,07-16-95,4:07.64L
M35-39,800 M Free,Rowdy Gaines,11-12-95,8:38.73L
M35-39,1500 M Free,Christopher S Derks,08-14-08,16:32.72L
M35-39,50 M Back,Edilson O Silva,08-08-09,27.03L
M35-39,100 M Back,Michael Ross,08-10-06,59.18L
M35-39,200 M Back,Ron Karnaugh,07-29-01,2:07.16L
M35-39,50 M Breast,Jeff P Commings,05-25-09,28.53L
M35-39,100 M Breast,Jeff P Commings,07-14-13,1:03.76L
M35-39,200 M Breast,Steve T West,08-06-11,2:20.34L
M35-39,50 M Fly,Kohei Kawamoto,08-15-15,24.14L
M35-39,100 M Fly,Kohei Kawamoto,08-17-17,54.02L
M35-39,200 M Fly,Brent Creager,08-01-15,2:04.76L
M35-39,200 M IM,Ronald D Karnaugh,12-07-02,2:05.64L
M35-39,400 M IM,Ron Karnaugh,07-29-01,4:34.10L
M40-44,50 M Free,Brian L Jacobson,08-13-14,23.31L
M40-44,100 M Free,Vlad Pyshnenko,08-01-10,51.72L
M40-44,200 M Free,Vlad Pyshnenko,08-02-10,1:53.65L
M40-44,400 M Free,Erik Hochstein,07-24-09,4:06.74L
M40-44,800 M Free,Alex G Kostich,07-25-10,8:37.81L
M40-44,1500 M Free,Alex G Kostich,07-23-10,16:36.91L
M40-44,50 M Back,Michael S Ross,08-23-08,27.47L
M40-44,100 M Back,Michael S Ross,08-07-09,59.08L
M40-44,200 M Back,Frederik C Hviid,08-16-14,2:11.13L
M40-44,50 M Breast,Jeff P Commings,07-27-14,29.02L
M40-44,100 M Breast,Steve T West,07-06-12,1:03.76L
M40-44,200 M Breast,Steve West,07-11-15,2:18.57L
M40-44,50 M Fly,Michael S Ross,08-06-09,25.57L
M40-44,100 M Fly,Michael S Ross,08-23-08,56.43L
M40-44,200 M Fly,Dennis G Baker,07-11-04,2:05.55L
M40-44,200 M IM,Jeff P Commings,07-23-16,2:13.71L
M40-44,400 M IM,Dennis Baker,08-15-05,4:49.42L
M45-49,50 M Free,Paul L Smith,08-10-06,24.29L
M45-49,100 M Free,Nicolas Granger,08-07-16,53.77L
M45-49,200 M Free,Keith M Switzer,08-06-09,1:57.89L
M45-49,400 M Free,Dennis G Baker,07-19-08,4:09.20L
M45-49,800 M Free,Jeff T Erwin,08-09-10,8:51.98L
M45-49,1500 M Free,Jeff T Erwin,08-10-09,16:38.81L
M45-49,50 M Back,Steve Wood,06-07-08,28.05L
M45-49,100 M Back,Steve Wood,06-08-08,1:00.13L
M45-49,200 M Back,Rich E Saeger,08-12-12,2:13.37L
M45-49,50 M Breast,Siphiwe K Baleka,08-20-17,30.10L
,,Siphiwe K Baleka,08-19-16,30.10L
M45-49,100 M Breast,Steve West,05-26-17,1:05.86L
M45-49,200 M Breast,Steve West,05-28-17,2:22.46L
M45-49,50 M Fly,Nicholas W Decker,07-08-12,25.65L
M45-49,100 M Fly,Paul V Carter,08-04-02,56.42L
M45-49,200 M Fly,Dennis G Baker,07-19-08,2:04.07L
M45-49,200 M IM,Nicolas Granger,08-07-16,2:10.09L
M45-49,400 M IM,Nicolas Granger,08-05-16,4:46.41L
M50-54,50 M Free,Rowdy Gaines,08-09-09,24.58L
M50-54,100 M Free,Nicolas Granger,08-04-17,54.18L
M50-54,200 M Free,Dan Stephenson,08-13-07,2:00.34L
